Deck,Seen %,Win %,Avg Cubes,Cards
Negative Bast,1.76,50.89,0.3,"Copy Code: # (1) Bast
# (2) Zabu
# (3) Ironheart
# (3) Mystique
# (3) Wolfsbane
# (3) Brood
# (3) Magik
# (3) Rogue
# (3) Silver Surfer
# (4) Mister Negative
# (4) Wong
# (5) Iron Man
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiQmFzdCJ9LHsiQ2FyZERlZklkIjoiWmFidSJ9LHsiQ2FyZERlZklkIjoiSXJvbmhlYXJ0In0seyJDYXJkRGVmSWQiOiJNeXN0aXF1ZSJ9LHsiQ2FyZERlZklkIjoiV29sZnNiYW5lIn0seyJDYXJkRGVmSWQiOiJCcm9vZCJ9LHsiQ2FyZERlZklkIjoiTWFnaWsifSx7IkNhcmREZWZJZCI6IlJvZ3VlIn0seyJDYXJkRGVmSWQiOiJTaWx2ZXJTdXJmZXIifSx7IkNhcmREZWZJZCI6Ik1yTmVnYXRpdmUifSx7IkNhcmREZWZJZCI6IldvbmcifSx7IkNhcmREZWZJZCI6Iklyb25NYW4ifV19
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Patriot Lad,2.53,56.07,0.28,"Copy Code: # (0) Wasp
# (2) Forge
# (2) Mister Sinister
# (2) Scarlet Witch
# (3) Patriot
# (3) Brood
# (3) Silver Surfer
# (4) Absorbing Man
# (4) Iron Lad
# (5) Blue Marvel
# (5) Legion
# (6) America Chavez
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiV2FzcCJ9LHsiQ2FyZERlZklkIjoiRm9yZ2UifSx7IkNhcmREZWZJZCI6Ik1yU2luaXN0ZXIifSx7IkNhcmREZWZJZCI6IlNjYXJsZXRXaXRjaCJ9LHsiQ2FyZERlZklkIjoiUGF0cmlvdCJ9LHsiQ2FyZERlZklkIjoiQnJvb2QifSx7IkNhcmREZWZJZCI6IlNpbHZlclN1cmZlciJ9LHsiQ2FyZERlZklkIjoiQWJzb3JiaW5nTWFuIn0seyJDYXJkRGVmSWQiOiJJcm9uTGFkIn0seyJDYXJkRGVmSWQiOiJCbHVlTWFydmVsIn0seyJDYXJkRGVmSWQiOiJMZWdpb24ifSx7IkNhcmREZWZJZCI6IkFtZXJpY2FDaGF2ZXoifV19
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Legion Control,1.12,55.35,0.27,"Copy Code: # (0) Wasp
# (1) Sunspot
# (1) Nebula
# (1) Misty Knight
# (2) Armor
# (2) Jeff the Baby Land Shark
# (3) Storm
# (3) Cyclops
# (3) Spider-Man
# (4) Shang-Chi
# (4) High Evolutionary
# (5) Legion
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiV2FzcCJ9LHsiQ2FyZERlZklkIjoiU3Vuc3BvdCJ9LHsiQ2FyZERlZklkIjoiTmVidWxhIn0seyJDYXJkRGVmSWQiOiJNaXN0eUtuaWdodCJ9LHsiQ2FyZERlZklkIjoiQXJtb3IifSx7IkNhcmREZWZJZCI6IkplZmZUaGVCYWJ5TGFuZFNoYXJrIn0seyJDYXJkRGVmSWQiOiJTdG9ybSJ9LHsiQ2FyZERlZklkIjoiQ3ljbG9wcyJ9LHsiQ2FyZERlZklkIjoiU3BpZGVyTWFuIn0seyJDYXJkRGVmSWQiOiJTaGFuZ0NoaSJ9LHsiQ2FyZERlZklkIjoiSGlnaEV2b2x1dGlvbmFyeSJ9LHsiQ2FyZERlZklkIjoiTGVnaW9uIn1dfQ==
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Thanos Destroy,4.25,53.42,0.27,"Copy Code: # (1) X-23
# (2) Carnage
# (2) Wolverine
# (3) Killmonger
# (3) Venom
# (4) Shuri
# (4) Iron Lad
# (5) Nimrod
# (6) Knull
# (6) Galactus
# (6) Thanos
# (8) Death
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiWDIzIn0seyJDYXJkRGVmSWQiOiJDYXJuYWdlIn0seyJDYXJkRGVmSWQiOiJXb2x2ZXJpbmUifSx7IkNhcmREZWZJZCI6IktpbGxtb25nZXIifSx7IkNhcmREZWZJZCI6IlZlbm9tIn0seyJDYXJkRGVmSWQiOiJTaHVyaSJ9LHsiQ2FyZERlZklkIjoiSXJvbkxhZCJ9LHsiQ2FyZERlZklkIjoiTmltcm9kIn0seyJDYXJkRGVmSWQiOiJLbnVsbCJ9LHsiQ2FyZERlZklkIjoiR2FsYWN0dXMifSx7IkNhcmREZWZJZCI6IlRoYW5vcyJ9LHsiQ2FyZERlZklkIjoiRGVhdGgifV19
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Generic Zabu,2.8,53.09,0.23,"Copy Code: # (2) Morbius
# (2) Wolverine
# (2) Zabu
# (2) Swarm
# (2) Colleen Wing
# (3) Killmonger
# (3) Daken
# (4) Shang-Chi
# (4) Strong Guy
# (4) Captain Marvel
# (5) M.O.D.O.K.
# (6) America Chavez
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiTW9yYml1cyJ9LHsiQ2FyZERlZklkIjoiV29sdmVyaW5lIn0seyJDYXJkRGVmSWQiOiJaYWJ1In0seyJDYXJkRGVmSWQiOiJTd2FybSJ9LHsiQ2FyZERlZklkIjoiQ29sbGVlbldpbmcifSx7IkNhcmREZWZJZCI6IktpbGxtb25nZXIifSx7IkNhcmREZWZJZCI6IkRha2VuIn0seyJDYXJkRGVmSWQiOiJTaGFuZ0NoaSJ9LHsiQ2FyZERlZklkIjoiU3Ryb25nR3V5In0seyJDYXJkRGVmSWQiOiJDYXB0YWluTWFydmVsIn0seyJDYXJkRGVmSWQiOiJNb2RvayJ9LHsiQ2FyZERlZklkIjoiQW1lcmljYUNoYXZleiJ9XX0=
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Phoenix Force,1.46,51.21,0.21,"Copy Code: # (1) Nova
# (1) Human Torch
# (2) Carnage
# (2) Multiple Man
# (3) Magik
# (3) Killmonger
# (3) Venom
# (4) Shang-Chi
# (4) Phoenix Force
# (5) Nimrod
# (6) Arnim Zola
# (6) Knull
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiTm92YSJ9LHsiQ2FyZERlZklkIjoiSHVtYW5Ub3JjaCJ9LHsiQ2FyZERlZklkIjoiQ2FybmFnZSJ9LHsiQ2FyZERlZklkIjoiTXVsdGlwbGVNYW4ifSx7IkNhcmREZWZJZCI6Ik1hZ2lrIn0seyJDYXJkRGVmSWQiOiJLaWxsbW9uZ2VyIn0seyJDYXJkRGVmSWQiOiJWZW5vbSJ9LHsiQ2FyZERlZklkIjoiU2hhbmdDaGkifSx7IkNhcmREZWZJZCI6IlRoZVBob2VuaXhGb3JjZSJ9LHsiQ2FyZERlZklkIjoiTmltcm9kIn0seyJDYXJkRGVmSWQiOiJBcm5pbVpvbGEifSx7IkNhcmREZWZJZCI6IktudWxsIn1dfQ==
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Big Hand,1.98,54.1,0.18,"Copy Code: # (1) Iceman
# (1) Nightcrawler
# (2) Scorpion
# (2) Sentinel
# (2) Lizard
# (3) Mister Fantastic
# (4) Shang-Chi
# (4) Moon Girl
# (4) White Queen
# (5) Devil Dinosaur
# (5) Aero
# (6) Magneto
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiSWNlbWFuIn0seyJDYXJkRGVmSWQiOiJOaWdodGNyYXdsZXIifSx7IkNhcmREZWZJZCI6IlNjb3JwaW9uIn0seyJDYXJkRGVmSWQiOiJTZW50aW5lbCJ9LHsiQ2FyZERlZklkIjoiTGl6YXJkIn0seyJDYXJkRGVmSWQiOiJNckZhbnRhc3RpYyJ9LHsiQ2FyZERlZklkIjoiU2hhbmdDaGkifSx7IkNhcmREZWZJZCI6Ik1vb25HaXJsIn0seyJDYXJkRGVmSWQiOiJXaGl0ZVF1ZWVuIn0seyJDYXJkRGVmSWQiOiJEZXZpbERpbm9zYXVyIn0seyJDYXJkRGVmSWQiOiJBZXJvIn0seyJDYXJkRGVmSWQiOiJNYWduZXRvIn1dfQ==
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Nimrod Galactus,1.22,49.48,0.14,"Copy Code: # (1) Nova
# (2) Bucky Barnes
# (2) Carnage
# (2) Wolverine
# (3) Green Goblin
# (3) Venom
# (3) Deathlok
# (4) Shuri
# (5) Hobgoblin
# (5) Nimrod
# (6) Galactus
# (6) Destroyer
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiTm92YSJ9LHsiQ2FyZERlZklkIjoiQnVja3lCYXJuZXMifSx7IkNhcmREZWZJZCI6IkNhcm5hZ2UifSx7IkNhcmREZWZJZCI6IldvbHZlcmluZSJ9LHsiQ2FyZERlZklkIjoiR3JlZW5Hb2JsaW4ifSx7IkNhcmREZWZJZCI6IlZlbm9tIn0seyJDYXJkRGVmSWQiOiJEZWF0aGxvayJ9LHsiQ2FyZERlZklkIjoiU2h1cmkifSx7IkNhcmREZWZJZCI6IkhvYmdvYmxpbiJ9LHsiQ2FyZERlZklkIjoiTmltcm9kIn0seyJDYXJkRGVmSWQiOiJHYWxhY3R1cyJ9LHsiQ2FyZERlZklkIjoiRGVzdHJveWVyIn1dfQ==
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Negative,3.61,45.61,0.1,"Copy Code: # (1) Bast
# (1) Deadpool
# (2) Forge
# (2) Psylocke
# (2) Carnage
# (3) Magik
# (3) Killmonger
# (3) Venom
# (4) Mister Negative
# (5) Iron Man
# (6) Arnim Zola
# (6) Knull
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiQmFzdCJ9LHsiQ2FyZERlZklkIjoiRGVhZHBvb2wifSx7IkNhcmREZWZJZCI6IkZvcmdlIn0seyJDYXJkRGVmSWQiOiJQc3lsb2NrZSJ9LHsiQ2FyZERlZklkIjoiQ2FybmFnZSJ9LHsiQ2FyZERlZklkIjoiTWFnaWsifSx7IkNhcmREZWZJZCI6IktpbGxtb25nZXIifSx7IkNhcmREZWZJZCI6IlZlbm9tIn0seyJDYXJkRGVmSWQiOiJNck5lZ2F0aXZlIn0seyJDYXJkRGVmSWQiOiJJcm9uTWFuIn0seyJDYXJkRGVmSWQiOiJBcm5pbVpvbGEifSx7IkNhcmREZWZJZCI6IktudWxsIn1dfQ==
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Nimrod Destroyer,1.17,48.66,0.07,"Copy Code: # (1) Nova
# (2) Carnage
# (2) Wolverine
# (2) Invisible Woman
# (3) Killmonger
# (3) Venom
# (3) Deathlok
# (4) Shuri
# (5) Taskmaster
# (5) Nimrod
# (6) America Chavez
# (6) Destroyer
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiTm92YSJ9LHsiQ2FyZERlZklkIjoiQ2FybmFnZSJ9LHsiQ2FyZERlZklkIjoiV29sdmVyaW5lIn0seyJDYXJkRGVmSWQiOiJJbnZpc2libGVXb21hbiJ9LHsiQ2FyZERlZklkIjoiS2lsbG1vbmdlciJ9LHsiQ2FyZERlZklkIjoiVmVub20ifSx7IkNhcmREZWZJZCI6IkRlYXRobG9rIn0seyJDYXJkRGVmSWQiOiJTaHVyaSJ9LHsiQ2FyZERlZklkIjoiVGFza21hc3RlciJ9LHsiQ2FyZERlZklkIjoiTmltcm9kIn0seyJDYXJkRGVmSWQiOiJBbWVyaWNhQ2hhdmV6In0seyJDYXJkRGVmSWQiOiJEZXN0cm95ZXIifV19
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Generic Discard,1.43,49.8,0.02,"Copy Code: # (1) Kitty Pryde
# (2) Angela
# (2) Forge
# (2) Mister Sinister
# (3) Spider-Man
# (3) Black Cat
# (4) Ghost Rider
# (4) Shang-Chi
# (4) Miles Morales
# (5) Stature
# (5) Black Bolt
# (8) Death
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiS2l0dHlQcnlkZSJ9LHsiQ2FyZERlZklkIjoiQW5nZWxhIn0seyJDYXJkRGVmSWQiOiJGb3JnZSJ9LHsiQ2FyZERlZklkIjoiTXJTaW5pc3RlciJ9LHsiQ2FyZERlZklkIjoiU3BpZGVyTWFuIn0seyJDYXJkRGVmSWQiOiJCbGFja0NhdCJ9LHsiQ2FyZERlZklkIjoiR2hvc3RSaWRlciJ9LHsiQ2FyZERlZklkIjoiU2hhbmdDaGkifSx7IkNhcmREZWZJZCI6Ik1pbGVzTW9yYWxlcyJ9LHsiQ2FyZERlZklkIjoiU3RhdHVyZSJ9LHsiQ2FyZERlZklkIjoiQmxhY2tCb2x0In0seyJDYXJkRGVmSWQiOiJEZWF0aCJ9XX0=
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
Agatha Farm,1.86,51.29,-0.12,"Copy Code: # (1) Sunspot
# (1) Ant Man
# (1) Nebula
# (1) Ebony Maw
# (2) Spider-Ham
# (2) Silk
# (3) Morph
# (3) Shanna
# (4) Ka-Zar
# (5) Blue Marvel
# (6) America Chavez
# (6) Agatha Harkness
#
eyJOYW1lIjoiTmV3IERlY2siLCJDYXJkcyI6W3siQ2FyZERlZklkIjoiU3Vuc3BvdCJ9LHsiQ2FyZERlZklkIjoiQW50TWFuIn0seyJDYXJkRGVmSWQiOiJOZWJ1bGEifSx7IkNhcmREZWZJZCI6IkVib255TWF3In0seyJDYXJkRGVmSWQiOiJTcGlkZXJIYW0ifSx7IkNhcmREZWZJZCI6IlNpbGsifSx7IkNhcmREZWZJZCI6Ik1vcnBoIn0seyJDYXJkRGVmSWQiOiJTaGFubmEifSx7IkNhcmREZWZJZCI6IkthWmFyIn0seyJDYXJkRGVmSWQiOiJCbHVlTWFydmVsIn0seyJDYXJkRGVmSWQiOiJBbWVyaWNhQ2hhdmV6In0seyJDYXJkRGVmSWQiOiJBZ2F0aGFIYXJrbmVzcyJ9XX0=
#
# To use this deck, copy it to your clipboard and paste it from the deck editing menu in Snap."
